LotFrontage,LotArea,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,CentralAir,GrLivArea,PoolArea,YrSold,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,Heating_GasA,Heating_GasW,Heating_Grav,Heating_Wall,total_square_ft,built_minus_sold
50.0,13500,10,5,1,0,6,2007,483,4,1,630,0,2008,1,0,0,0,0,1,0,0,0,1113,4015
69.37905085568637,10237,8,5,1,0,6,1981,1176,3,1,1316,0,2006,1,0,0,0,0,1,0,0,0,2492,3987
69.37905085568637,11341,6,6,1,0,5,1994,1151,2,1,1477,0,2010,1,0,0,0,0,1,0,0,0,2628,4004
90.0,8414,10,6,1,1,6,1925,884,6,0,1204,0,2008,1,0,0,0,0,1,0,0,0,2088,3933
69.0,4435,6,5,2,0,5,1918,969,2,1,1349,0,2009,1,0,0,0,0,1,0,0,0,2318,3927
60.0,7015,4,6,2,0,6,2005,1029,3,1,1376,0,2007,0,0,1,0,0,1,0,0,0,2405,4012
69.37905085568637,14850,4,3,2,1,7,1967,952,3,1,1733,0,2009,1,0,0,0,0,1,0,0,0,2685,3976
69.37905085568637,2117,7,5,1,1,5,1975,793,3,1,923,0,2008,1,0,0,0,0,1,0,0,0,1716,3983
90.0,8978,4,5,1,1,6,1937,732,3,1,1639,0,2009,1,0,0,0,0,1,0,0,0,2371,3946
65.0,9170,6,5,2,1,6,1952,520,3,1,1224,0,2008,0,0,1,0,0,1,0,0,0,1744,3960
21.0,7449,5,7,2,0,6,1980,1947,3,1,1872,0,2009,1,0,0,0,0,1,0,0,0,3819,3989
40.0,39104,7,7,2,1,8,1969,1581,4,1,1094,0,2009,0,1,0,0,0,1,0,0,0,2675,3978
80.0,8410,5,5,1,1,6,1962,1188,3,1,1713,0,2007,1,0,0,0,0,1,0,0,0,2901,3969
174.0,10452,5,6,1,1,6,1928,960,3,1,1744,0,2009,0,0,1,0,0,1,0,0,0,2704,3937
36.0,6897,6,5,2,1,7,1922,1099,4,1,899,0,2007,1,0,0,0,0,1,0,0,0,1998,3929
