LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold
50.0,13500,0,10,5,1,0,6,2007,483,4,0,0,630,0,2008
69.37905085568637,10237,0,8,5,1,0,6,1981,1176,3,0,0,1316,0,2006
69.37905085568637,11341,0,6,6,1,0,5,1994,1151,2,0,0,1477,0,2010
90.0,8414,0,10,6,1,1,6,1925,884,6,0,1,1204,0,2008
69.0,4435,0,6,5,2,0,5,1918,969,2,0,0,1349,0,2009
60.0,7015,1,4,6,2,0,6,2005,1029,3,0,0,1376,0,2007
69.37905085568637,14850,0,4,3,2,1,7,1967,952,3,0,0,1733,0,2009
69.37905085568637,2117,0,7,5,1,1,5,1975,793,3,0,0,923,0,2008
90.0,8978,0,4,5,1,1,6,1937,732,3,0,0,1639,0,2009
65.0,9170,1,6,5,2,1,6,1952,520,3,0,0,1224,0,2008
21.0,7449,0,5,7,2,0,6,1980,1947,3,0,0,1872,0,2009
40.0,39104,2,7,7,2,1,8,1969,1581,4,0,0,1094,0,2009
80.0,8410,0,5,5,1,1,6,1962,1188,3,0,0,1713,0,2007
174.0,10452,1,5,6,1,1,6,1928,960,3,0,0,1744,0,2009
36.0,6897,0,6,5,2,1,7,1922,1099,4,0,0,899,0,2007
60.0,16669,3,7,6,2,0,6,1977,910,2,0,0,792,0,2006
69.37905085568637,12704,0,5,7,1,0,11,1964,1694,1,0,1,1721,0,2006
70.0,9000,0,9,6,1,0,5,1976,1372,4,0,0,1314,0,2006
72.0,10083,0,6,5,2,1,5,2008,612,2,0,0,1382,0,2009
75.0,7642,0,7,6,2,0,5,2006,1792,3,0,0,2240,0,2008
41.0,12376,1,6,6,1,0,8,1940,1362,2,0,0,960,0,2008
57.0,10000,3,8,6,1,1,5,2000,1150,3,0,0,1766,0,2006
69.37905085568637,7861,0,7,7,2,0,5,1995,612,2,0,0,2046,0,2006
82.0,1680,0,4,5,2,0,6,2005,848,3,0,0,2554,0,2008
35.0,7875,0,5,6,1,0,5,1949,982,3,0,0,1294,0,2007
69.37905085568637,8544,0,7,5,1,0,4,2002,1040,3,0,0,1689,0,2009
78.0,6768,0,5,8,1,0,6,1981,1237,2,0,0,1097,0,2006
116.0,6762,0,4,5,2,0,7,2006,702,2,0,0,630,0,2006
75.0,16659,0,6,4,1,0,9,1924,969,3,0,0,835,0,2008
53.0,6960,0,6,9,1,0,8,1977,798,4,0,0,1040,0,2009
69.37905085568637,9938,0,7,7,1,1,5,1910,1094,3,0,0,1720,0,2010
82.0,8777,3,7,6,1,0,6,1966,1073,3,0,0,800,0,2006
60.0,8544,0,7,5,1,0,6,2000,864,4,0,0,1829,0,2006
60.0,8125,0,4,5,1,0,5,1945,816,5,0,0,1950,0,2006
65.0,7050,0,5,8,2,1,4,2007,1143,3,0,0,1310,0,2006
60.0,10437,0,8,5,1,0,8,1970,1734,3,0,0,1756,0,2006
80.0,7658,0,5,7,2,0,7,2007,702,3,0,0,1144,0,2006
69.37905085568637,11844,0,8,4,1,1,8,1961,649,2,0,0,1375,512,2008
78.0,7472,0,8,7,1,0,5,2001,1440,4,0,0,773,0,2009
70.0,8400,0,8,5,2,0,8,2000,1064,2,1,0,1148,0,2009
52.0,6563,0,6,6,1,1,7,1955,1134,2,0,0,1692,0,2008
77.0,9250,0,5,5,2,1,5,2005,1148,3,0,1,1382,0,2010
83.0,10400,0,7,5,2,0,6,1961,912,4,0,0,520,0,2006
108.0,9612,0,9,5,2,1,9,2002,1436,3,0,0,1766,0,2006
75.0,9098,0,5,6,2,0,7,1972,1416,2,0,0,1144,0,2009
51.0,9042,0,6,5,2,0,7,1930,1056,4,0,0,1639,0,2006
69.37905085568637,9020,0,7,6,1,0,10,1961,3200,4,0,0,2646,0,2007
114.0,13006,0,5,4,1,0,7,2000,777,3,0,0,1786,0,2006
56.0,11670,0,7,5,3,1,6,2007,1113,3,0,0,1369,0,2010
79.0,7244,0,6,6,1,1,5,1997,1128,2,0,0,2466,0,2006
81.0,9765,3,7,4,2,0,7,1953,672,2,0,0,1291,0,2009
70.0,10570,0,5,7,1,0,6,2003,1144,3,0,0,1501,0,2006
69.37905085568637,9100,0,6,5,2,1,5,2004,520,4,0,0,2090,0,2008
82.0,10005,0,3,9,3,0,6,2003,912,3,0,0,825,0,2009
75.0,1526,0,6,5,2,0,4,1965,0,4,0,0,1306,0,2008
69.37905085568637,7930,0,5,5,2,0,5,2007,910,3,0,0,1802,0,2007
60.0,9750,0,4,5,1,0,4,1925,1144,3,0,0,2775,0,2007
75.0,46589,0,4,5,1,1,7,1922,729,3,0,0,1680,0,2007
50.0,5000,0,5,6,1,1,6,1925,1008,3,0,0,1446,0,2009
62.0,10500,0,8,3,1,0,7,1956,783,3,0,0,1800,0,2009
21.0,12099,0,7,5,2,1,6,1931,384,2,0,0,1440,0,2010
50.0,12257,0,9,5,1,1,12,1971,702,3,0,0,2158,0,2006
60.0,9790,0,8,5,2,1,3,1966,1092,4,0,1,1121,0,2010
51.0,1890,0,5,7,1,1,7,1918,1181,2,0,0,2612,0,2008
59.0,12003,0,6,7,1,1,7,1930,3094,3,0,0,1077,0,2006
21.0,14587,2,9,5,1,0,7,1929,1686,3,0,0,2144,0,2008
69.37905085568637,9020,0,5,5,2,0,6,2008,105,3,0,0,1048,0,2006
78.0,14200,3,7,5,1,1,6,1992,849,2,0,0,1800,0,2009
107.0,5119,0,7,5,2,0,6,1954,1266,2,0,0,1212,0,2009
62.0,10200,2,4,5,1,0,8,1998,811,2,0,0,2034,0,2009
80.0,6762,0,7,5,1,0,8,1972,384,2,0,0,1080,0,2007
35.0,10386,0,6,5,2,0,7,1936,1686,4,0,0,1949,0,2009
70.0,8366,0,7,5,1,0,5,1953,1869,2,0,0,1470,0,2010
60.0,10927,0,5,5,1,0,7,1974,1436,3,0,0,1928,0,2009
69.37905085568637,15660,0,7,3,0,0,9,1972,1253,2,0,0,1252,0,2008
50.0,1680,0,9,5,2,0,4,2005,1008,4,0,0,1262,0,2006
97.0,8500,0,5,6,1,0,7,1957,856,2,0,0,1563,0,2010
92.0,12155,0,5,8,2,1,6,1923,996,2,0,0,1652,0,2009
88.0,7259,0,7,5,1,1,7,2004,1003,4,0,0,1317,0,2010
60.0,11500,3,5,5,2,0,7,2003,728,3,0,0,1375,0,2007
65.0,9100,0,6,5,1,0,7,1940,561,1,0,0,1040,0,2006
21.0,4058,0,7,5,2,1,7,2000,926,3,0,0,960,0,2009
60.0,18450,0,6,7,1,0,7,2005,773,3,0,0,1301,0,2010
53.0,9600,4,6,6,2,0,7,1961,1833,1,0,0,858,0,2008
51.0,9180,0,6,7,2,1,7,2005,1385,3,0,0,767,0,2009
141.0,17600,3,6,5,2,1,8,1946,689,3,0,0,3112,0,2007
105.0,12456,0,6,5,2,0,6,1997,2444,3,0,0,1003,0,2006
69.37905085568637,7200,0,7,5,2,0,10,1990,660,3,0,0,1113,0,2007
96.0,12205,0,6,6,2,0,4,1925,979,3,0,0,1208,0,2010
50.0,6000,0,4,6,1,1,8,2005,540,4,0,0,1632,0,2007
100.0,7800,3,6,5,3,0,10,2004,2109,3,0,0,1920,0,2007
78.0,3604,0,7,6,2,1,5,1970,1566,2,0,0,1159,0,2009
60.0,7200,0,8,5,1,0,6,1963,715,4,0,0,1269,0,2008
69.37905085568637,8536,0,6,7,2,0,10,2005,1470,2,0,0,2730,0,2008
59.0,2572,0,8,5,2,0,6,2007,744,4,0,0,1560,0,2010
91.0,21535,0,5,5,2,0,8,1976,483,4,0,0,1215,0,2006
69.37905085568637,8765,0,7,5,2,0,7,1958,1517,3,0,1,1473,0,2006
75.0,11782,0,6,5,2,1,10,2002,1276,2,0,0,2192,0,2006
71.0,2289,0,6,7,1,0,8,1976,1670,2,0,0,1577,0,2007
69.37905085568637,15611,3,5,5,2,1,6,1990,1204,2,0,1,1217,0,2010
48.0,9450,0,5,8,1,0,9,1946,1050,2,0,0,2531,0,2008
69.37905085568637,11426,0,6,5,2,1,7,1954,1125,4,0,0,1547,0,2007
60.0,7851,0,5,5,2,0,6,2003,1561,2,0,0,1961,0,2007
65.0,8000,0,5,5,1,1,8,1954,1161,3,0,0,848,0,2008
69.37905085568637,4274,0,5,5,1,0,4,1975,1116,4,0,0,840,0,2009
106.0,10628,0,5,5,1,0,6,1964,1138,2,0,1,1317,0,2009
70.0,9855,3,8,5,1,1,7,1998,1379,2,0,0,1362,0,2009
60.0,7500,0,7,5,1,0,7,2007,1391,2,0,1,1616,0,2007
24.0,7000,0,5,8,1,0,5,2005,702,3,0,0,1445,0,2009
69.37905085568637,8281,2,4,8,1,1,5,1972,1100,3,0,0,1328,0,2008
60.0,12800,0,4,5,2,1,5,2007,725,2,0,0,2172,0,2009
79.0,9945,0,8,6,2,1,7,2005,864,4,0,0,2576,0,2009
60.0,16635,1,5,5,1,0,8,1981,849,3,0,0,816,0,2009
122.0,14762,0,5,7,1,1,8,1970,943,3,0,0,1477,0,2008
141.0,10667,0,5,6,1,1,5,1960,953,2,0,0,1458,0,2008
69.37905085568637,10200,0,5,7,1,1,7,1969,1214,3,0,0,1940,0,2009
69.37905085568637,2268,1,6,5,2,1,7,1951,1350,3,0,0,1752,0,2006
51.0,10355,0,10,6,2,0,6,1965,1144,2,0,0,1342,0,2010
75.0,12803,0,5,5,1,0,6,1970,1709,2,0,0,981,0,2007
80.0,7200,0,7,5,1,1,7,1996,723,3,0,0,1150,0,2006
63.0,10400,0,7,5,2,0,6,2004,990,3,0,0,1908,0,2010
55.0,25095,0,6,5,2,1,7,1959,736,3,0,0,1073,0,2006
75.0,10400,0,5,5,1,0,4,2004,1028,3,0,0,894,0,2008
82.0,11553,0,8,6,1,1,7,1986,983,3,0,0,1573,0,2007
50.0,3072,0,8,7,2,0,6,1918,672,3,0,0,1224,0,2007
66.0,10896,0,8,5,1,0,8,2005,864,3,0,0,1040,0,2008
65.0,7227,0,8,6,1,1,5,1880,750,2,0,0,2704,0,2006
70.0,9320,0,6,5,2,0,8,1982,1466,2,0,0,1344,0,2006
30.0,8400,3,5,5,1,0,4,1970,1650,3,0,0,1496,0,2007
66.0,6762,1,6,5,1,0,5,2004,1050,2,0,0,1960,0,2009
79.0,9600,3,5,5,1,0,8,2007,483,3,0,0,1118,0,2009
24.0,6240,0,6,6,1,0,6,1951,816,3,0,0,1520,0,2007
69.37905085568637,14963,3,9,5,1,0,10,1956,2153,1,0,0,907,0,2006
57.0,1300,1,5,5,1,0,5,1970,641,3,0,0,999,0,2008
